year,month,loading
108,1,69360
108,2,71525
108,3,70824
108,4,72810
108,5,72080
108,6,75929
108,7,77830
108,8,79805
108,9,76235
108,10,83208
108,11,79969
108,12,89204
109,1,82810
109,2,58868
109,3,40737
109,4,33621
109,5,37933
109,6,43162
109,7,48160
109,8,53257
109,9,51550
109,10,51720
109,11,51668
109,12,53423
110,1,46793
110,2,41855
110,3,49168
110,4,50673
110,5,27172
110,6,14197
110,7,18872
110,8,29476
110,9,33598
110,10,42215
110,11,46668
110,12,51258
111,1,40012
111,2,39098
111,3,47692
111,4,39609
111,5,30877
111,6,36888
111,7,44951
111,8,48921
111,9,48863
111,10,53097
111,11,61492
111,12,72154
112,1,69207
112,2,74697
112,3,78160
112,4,79755
112,5,80102
112,6,84347
112,7,92396
