日期(年),單位,原油進口量合計,沙烏地阿拉伯,科威特,美國,阿聯大公國,伊拉克,安哥拉,阿曼,查德,卡達,奈及利亞,其他
2002,千桶,278159,57917,42859,0,10535,11143,22815,20886,0,0,10381,101623
2003,千桶,327106,90778,59261,0,12592,11910,25087,3391,0,1488,8625,113974
2004,千桶,368686,89294,81760,0,14162,15381,21773,12591,0,523,6775,126428
2005,千桶,381741,107271,88002,0,17615,18181,18610,15025,1899,9881,0,105257
2006,千桶,365362,112516,77404,0,23844,12798,27879,12529,945,9805,945,86697
2007,千桶,360809,116395,73788,0,21646,30226,28817,9923,0,922,2841,76251
2008,千桶,333143,110774,74335,0,16710,21183,19120,10000,952,1968,0,78100
2009,千桶,343674,117342,69324,0,15880,33746,19026,17315,0,1124,947,68970
2010,千桶,316677,105779,71295,0,15901,22942,30564,14105,0,961,0,55130
2011,千桶,290062,97931,66894,0,17260,8224,52168,4002,534,0,4836,38213
2012,千桶,318420,100233,67218,0,21600,23999,43452,33945,0,1565,1942,24463
2013,千桶,295935,106058,64214,0,18224,23264,33532,26724,418,578,0,22924
2014,千桶,315220,103893,59947,0,29256,34501,26539,32023,0,2660,1862,24538
2015,千桶,307701,99285,67642,0,26319,26894,24930,38901,949,3909,0,18872
2016,千桶,313844,100112,66464,0,18737,21686,28715,24695,617,0,946,51873
2017,千桶,312217,98215,61569,2583,30887,16262,25837,19508,500,3043,4018,49796
2018,千桶,322532,98636,68029,43900,27903,24393,3975,21186,0,1049,996,32465
2019,千桶,325232,102085,63762,59743,36667,13607,2845,20687,0,2931,0,22905
2020,千桶,270047,90099,54158,53064,25398,12622,10408,9478,4020,3925,2851,4023
2021,千桶,278853,86706,60870,53338,29447,12703,3710,14875,6648,2449,3003,5103
2022,千桶,297444,100838,63003,60635,24771,6754,8795,20287,4768,2998,1946,2649
